name,date,location,content,tags,organization
"manfred honeck and beatrice rana",2023-06-02,"davies symphony hall","amazon by gloria isabel ramos triano, rhapsody on a theme of paganini by sergei rachmaninoff, symphony in c major, the great by franz schubert","rachmaninoff, schubert","sf sympohony"
"delvon lamarr organ trio",2023-06-07,"miner auditorium",,"jazz, organ",sfjazz
"john brothers piano company",2023-06-18,"miner auditorium",,jazz,sfjazz
"igor levit",2023-06-27,"devies symphony hall",,"classic, piano","sf symphony"
"elgar and rachmaninoff",2023-07-13,"devies symphony hall",,"classic, piano concerto, elga, rachmaninoff","sf symphony"
"harold lopez-nussa duo",2023-07-28,"miner auditorium",,"jazz, cuban, piano",sfjazz
"chamber music at legion of honor", 2023-10-08, "legion of honor", "piano, violin, cello trio.", "chamber music, classic, piano", "sf symphony"
"eliane elias", 2023-10-20, "miner auditorium", "bossa nova, brazilian jazz", "jazz", sfjazz
"daniil trifonov", 2023-11-19, "devies symphony hall", "piano recital", piano, "sf symphony"
"eric lu", 2024-01-31, "devies symphony hall", "piano recital", piano, "sf symphony"
"hiromi's sonicwonder", 2024-04-14, "miner auditorium", "jazz", "jazz, piano", "sfjazz"
"yefim bronfman", 2024-04-21, "devies symphony hall", "piano recital", piano, "sf symphony"